,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
2117,"Rp 1,8 Miliar",Cicilan: 7 Jutaan per bulan,"Rumah 2 Lantai Bagus Unfurnished SHM di Jl. Pirus Galuh, Bandung","Arcamanik, Bandung",3,3,3,LT : 213 m²,LB : 160 m²
2118,"Rp 2,5 Miliar",Cicilan: 10 Jutaan per bulan,"Rumah Bagus 2 Lantai Semi Furnished di Jatisari Buah Batu, Bandung","Buah Batu, Bandung",4,2,3,LT : 188 m²,LB : 182 m²
2119,"Rp 1,7 Miliar",Cicilan: 6 Jutaan per bulan,Rumah Bagus 2 Lantai Cocok untuk Usaha Workshop di Jatisari Buah Batu Bandung,"Buah Batu, Bandung",2,2,2,LT : 126 m²,LB : 150 m²
2120,"Rp 1,6 Miliar",Cicilan: 6 Jutaan per bulan,"Area Kos,rumah Sayap Jl Cihampelas Hadap Timur Minimalis ","Coblong, Bandung",3,2,1,LT : 96 m²,LB : 106 m²
2121,"Rp 1,5 Miliar",Cicilan: 6 Jutaan per bulan,Rumah Sejuk di Komplek Sariwangi dekat Setra Duta,"Sariwangi, Bandung",3,2,2,LT : 132 m²,LB : 78 m²
2122,Rp 750 Juta,Cicilan: 3 Jutaan per bulan,"Rumah Bagus Unfurnished SHM di Cihanjuang, Bandung","Cihanjuang, Bandung",2,1,1,LT : 111 m²,LB : 60 m²
2123,"Rp 1,4 Miliar",Cicilan: 5 Jutaan per bulan,Rumah Semi Furnished Cluster Dayana Di Summarecon Bandung,"Summarecon Bandung, Bandung",2,2,1,LT : 77 m²,LB : 71 m²
2124,Rp 800 Juta,Cicilan: 3 Jutaan per bulan,"Rumah Baru Cakep Dp Allin 10jt Cicilan 3,3jtan Di Bandung Katapang Dekat Kaw Industri 11rg85","Bojongloa, Bandung",3,2,0,LT : 72 m²,LB : 60 m²
2125,"Rp 2,7 Miliar",Cicilan: 10 Jutaan per bulan,Rumah Baru 2 Lantai Di Kota Baru Parahyangan ,"Kota Baru Parahyangan, Bandung",3,2,1,LT : 144 m²,LB : 95 m²
2126,Rp 3 Miliar,Cicilan: 12 Jutaan per bulan,Rumah Shm Bagus Hadap Timur Sayap Batununggal,"Batununggal, Bandung",6,5,1,LT : 260 m²,LB : 400 m²
2127,"Rp 4,25 Miliar",Cicilan: 17 Jutaan per bulan,"Rumah 2 Lantai Bagus Furnished SHM di Setra Murni, Bandung","Setra Murni, Bandung",4,3,3,LT : 176 m²,LB : 250 m²
