,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
6179,"Rp 5,5 Miliar",Cicilan: 21 Jutaan per bulan,No Data,"Buah Batu, Bandung",4,5,0,LT : 100 m²,LB : 300 m²
6180,Rp 499 Juta,Cicilan: 1 Jutaan per bulan,No Data,"Banjaran, Bandung",2,1,0,LT : 84 m²,LB : 36 m²
6181,"Rp 2,97 Miliar",Cicilan: 11 Jutaan per bulan,No Data,"Gunung Batu, Bandung",4,3,2,LT : 270 m²,LB : 240 m²
6182,"Rp 2,65 Miliar",Cicilan: 10 Jutaan per bulan,No Data,"Mekar Wangi, Bandung",4,3,2,LT : 125 m²,LB : 150 m²
6183,Rp 781 Juta,Cicilan: 3 Jutaan per bulan,No Data,"Banjaran, Bandung",2,1,0,LT : 100 m²,LB : 50 m²
6184,"Rp 17,5 Miliar",Cicilan: 67 Jutaan per bulan,No Data,"Dago, Bandung",28,28,15,LT : 282 m²,LB : 1200 m²
6185,"Rp 1,09 Miliar",Cicilan: 4 Jutaan per bulan,No Data,"Arcamanik, Bandung",2,2,0,LT : 150 m²,LB : 135 m²
6186,Rp 2 Miliar,Cicilan: 7 Jutaan per bulan,No Data,"Setiabudi, Bandung",4,3,2,LT : 149 m²,LB : 250 m²
6187,"Rp 1,7 Miliar",Cicilan: 6 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",4,1,0,LT : 111 m²,LB : 130 m²
6188,"Rp 1,7 Miliar",Cicilan: 6 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",4,1,0,LT : 111 m²,LB : 130 m²
6189,Rp 6 Miliar,Cicilan: 23 Jutaan per bulan,No Data,"Mekar Wangi, Bandung",4,3,2,LT : 210 m²,LB : 500 m²
6190,Rp 60 Juta,Cicilan: 230 Ribuan per bulan,No Data,"Summarecon Bandung, Bandung",3,2,0,LT : 105 m²,LB : 100 m²
6191,"Rp 1,6 Miliar",Cicilan: 6 Jutaan per bulan,No Data,"Buah Batu, Bandung",4,3,1,LT : 148 m²,LB : 156 m²
6192,"Rp 6,5 Miliar",Cicilan: 24 Jutaan per bulan,No Data,"Turangga, Bandung",4,3,5,LT : 518 m²,LB : 300 m²
6193,"Rp 2,3 Miliar",Cicilan: 8 Jutaan per bulan,No Data,"Mekar Wangi, Bandung",3,1,1,LT : 110 m²,LB : 100 m²
6194,"Rp 1,99 Miliar",Cicilan: 7 Jutaan per bulan,No Data,"Bandung Kota, Bandung",3,2,1,LT : 160 m²,LB : 180 m²
6195,Rp 800 Juta,Cicilan: 3 Jutaan per bulan,No Data,"Margaasih, Bandung",2,1,0,LT : 90 m²,LB : 45 m²
6196,Rp 45 Miliar,Cicilan: 172 Jutaan per bulan,No Data,"Setiabudi, Bandung",10,13,13,LT : 2441 m²,LB : 840 m²
6197,"Rp 3,8 Miliar",Cicilan: 14 Jutaan per bulan,No Data,"Setra Sari, Bandung",5,4,1,LT : 260 m²,LB : 220 m²
6198,Rp 850 Juta,Cicilan: 3 Jutaan per bulan,No Data,"Moch Toha, Bandung",9,7,0,LT : 98 m²,LB : 180 m²
6199,Rp 875 Juta,Cicilan: 3 Jutaan per bulan,No Data,"Kota Baru Parahyangan, Bandung",3,2,1,LT : 84 m²,LB : 80 m²
6200,"Rp 1,75 Miliar",Cicilan: 6 Jutaan per bulan,No Data,"Margahayu, Bandung",4,3,0,LT : 186 m²,LB : 200 m²
6201,"Rp 3,17 Miliar",Cicilan: 12 Jutaan per bulan,No Data,"Kota Baru Parahyangan, Bandung",3,1,0,LT : 190 m²,LB : 11 m²
6202,"Rp 2,65 Miliar",Cicilan: 10 Jutaan per bulan,No Data,"Mekar Wangi, Bandung",2,1,1,LT : 183 m²,LB : 105 m²
6203,"Rp 1,8 Miliar",Cicilan: 6 Jutaan per bulan,No Data,"Margahayu, Bandung",4,4,2,LT : 120 m²,LB : 220 m²
6204,"Rp 3,99 Miliar",Cicilan: 15 Jutaan per bulan,No Data,"Mekar Wangi, Bandung",4,7,0,LT : 250 m²,LB : 450 m²
